name,text,sentiment,,,,,,
breanna62799,heScared,,,,,,,
lilrodneywiththebigbutt,make a prediction poll if he passes out mid fall or not,,,,,,,
himzeno,Scary Ash Jump Boi,,,,,,,
bossmansixD,@stxtikz RT,,,,,,,
stxtikz,Hubert finna destroy u,,,,,,,
itskeyah,"imagine he jumps, stream f’s then we see him landing pfft",,,,,,,
b1gcountry316,@sher0911arr hell to the no,,,,,,,
josherrrrc,I couldn’t do it like what if the parchute fails?😂😂😂,,,,,,,
xdsznnnn,OOOO,,,,,,,
Neebskii,@itskeyah stop,,,,,,,
2muchdrank909,@feelssunnyman would you ever do it??,,,,,,,
Avcadoz,wow,,,,,,,
zillaXsantana,life,,,,,,,
RetroGuitar67,Cinema,,,,,,,
notvmptyy,aura,,,,,,,
Kuzler,@itskeyah NGL thats what im imagining,,,,,,,
Rytus_,LOL,,,,,,,
hcbaileyy,i wanna go so bad,,,,,,,
xdsznnnn,its a Cinema,,,,,,,
kaden53x,OOOO,,,,,,,
bossmansixD,LOL WHO IS HUBERT,,,,,,,
powgazm,OHHHH,,,,,,,
vksc_,Cinema woah,,,,,,,
ANormalDumbass,Cinema,,,,,,,
RingoMar,WHATT,,,,,,,
braylink325,stfu,,,,,,,
jordanking23_,w production,,,,,,,
powgazm,OOOO,,,,,,,
frozenconez,LOL,,,,,,,
LandfilI,@breanna62799 mf do you change your name color every day Stare,,,,,,,
b1gcountry316,I'm actually scared for him lol,,,,,,,
RetroGuitar67,LOL,,,,,,,
WideHardPepega,LO LITERALLY,,,,,,,
LBIeach,@itskeyah Wouldnt be surprised if that happens sobb,,,,,,,
sher0911arr,@b1gcountry316 u should try it lmk how it goes uuh,,,,,,,
pandaaaa777,faxxxxxxxxxxxxxxxxxxxx,,,,,,,
RTRG24,is there gonna be someone strapped behind him or is he jumping solo?,,,,,,,
brayon_101,sobb,,,,,,,
rrittenhouse,hahaha,,,,,,,
ANormalDumbass,WW prod,,,,,,,
leheiress,EPICCCC SKYDIVEE,,,,,,,
breanna62799,gigl gigl,,,,,,,
notteblu3,yeah LMFAO,,,,,,,
powgazm,IS THAAT PRODUCTION?,,,,,,,
cashcarti29_,omePfft,,,,,,,
cashcarti29_,omePfft,,,,,,,
ANormalDumbass,sobb,,,,,,,
Syyl,...,,,,,,,
WideHardPepega,Bloons,,,,,,,
kaffa__,UHH,,,,,,,
braylink325,stfu,,,,,,,
frozenconez,ome,,,,,,,
Rytus_,@hcbaileyy we should do one together,,,,,,,
j_reed_02,this gonna be a movie,,,,,,,
2muchdrank909,😂😂,,,,,,,
imSnapperz,LO,,,,,,,
meow38meow,sobb,,,,,,,
u_musty445,and then,,,,,,,
KingSkullgan,WW ANGLE,,,,,,,
RetroGuitar67,LMFAO,,,,,,,
XeiumX7,LMFAO,,,,,,,
powgazm,IS THAT PRODUCTION SKYDIVING?,,,,,,,
Neebskii,WW PRODUCTION,,,,,,,
urlove_kayla2,fsmSighed wdym we fsmSigh fsmWhat,,,,,,,
notvmptyy,auraaa,,,,,,,
ANormalDumbass,LMFAO,,,,,,,
b1gcountry316,you think he passes out?,,,,,,,
notteblu3,they should have drones no?,,,,,,,
RingoMar,WHATT omg,,,,,,,
KingSkullgan,sobb,,,,,,,
donovanmic,pfft,,,,,,,
unwording,ive been skydiving only once,,,,,,,
fyzke,WOKE,,,,,,,
yashveer185334,uhhh,,,,,,,
davioitu,LMAO,,,,,,,
u_musty445,and then and then,,,,,,,
breanna62799,gigl  gigl,,,,,,,
notvmptyy,Aura,,,,,,,
lea__aaaaa,LOL yesss,,,,,,,
RetroGuitar67,WHATT,,,,,,,
KingSkullgan,WHATT,,,,,,,
vmulla___,they got the free gta helicopter,,,,,,,
Neebskii,no,,,,,,,
braylink325,no,,,,,,,
trlxe_,OOOO,,,,,,,
dalayna,no,,,,,,,
notteblu3,yes,,,,,,,
kaden53x,no,,,,,,,
brayon_101,omePfft,,,,,,,
braylink325,noooo,,,,,,,
lilrodneywiththebigbutt,yeah,,,,,,,
LBIeach,no,,,,,,,
tcflinds2,yea,,,,,,,
xdsznnnn,NAAAAH,,,,,,,
twisted_86,yonose,,,,,,,
XeiumX7,yeaa,,,,,,,
notvmptyy,no,,,,,,,
bossmansixD,no,,,,,,,
skiboiangel_,it might fr,,,,,,,
superhere0,no,,,,,,,
jordanking23_,no,,,,,,,
ANormalDumbass,no,,,,,,,
pandaaaa777,yesss,,,,,,,
powgazm,@unwording how was it?,,,,,,,
0justj,yes,,,,,,,
braylink325,nooooo,,,,,,,
K1NGW3ND1G0,No it dangerous,,,,,,,
breanna62799,gasp,,,,,,,
memi1056bruv,pls yes,,,,,,,
jervas2,speed would\,,,,,,,
notteblu3,he will,,,,,,,
braylink325,nooooooo,,,,,,,
jordanking23_,this serious,,,,,,,
bossmansixD,he's gonna be too scared,,,,,,,
Neebskii,windows on off mhm,,,,,,,
HIIMJERZEY,has to????,,,,,,,
b1gcountry316,when that door opens it's gonna really hit him,,,,,,,
LBIeach,he aint speed,,,,,,,
Shi_Shizzl,fake?? EL oh EL,,,,,,,
fromthemanbehrry,I WAS HEREEEE,,,,,,,
j_reed_02,pry wont be fake,,,,,,,
0justj,clip farming for the sake of it,,,,,,,
karaskyee,YOU WAS HERE,,,,,,,
Kuzler,He's not opening up his eyes until he gets back on the ground,,,,,,,
superhere0,the 1st time skydiving u stay up,,,,,,,
KingVow,prolly actually gon pass out lol,,,,,,,
KingSkullgan,look how it is rn,,,,,,,
brayon_101,sobb,,,,,,,
braylink325,no,,,,,,,
zillaXsantana,yes,,,,,,,
lea__aaaaa,i think hes too nervous to troll,,,,,,,
9Magnus,YES,,,,,,,
notvmptyy,yea,,,,,,,
notteblu3,fuck,,,,,,,
Articfvv1,OMG,,,,,,,
Syyl,no,,,,,,,
braylink325,nooooooo,,,,,,,
breanna62799,gigl gigl YES,,,,,,,
Articfvv1,WTD,,,,,,,
vmulla___,“omg”,,,,,,,
memi1056bruv,yea,,,,,,,
braylink325,noooooo,,,,,,,
notteblu3,fuck ͏,,,,,,,
bigpaparemy321,"that's like missing the moment.., not worth it",,,,,,,
xdsznnnn,pre holy shit holy fuck,,,,,,,
Rytus_,ohhhh fuckkkk,,,,,,,
braylink325,nooooooooooo,,,,,,,
awesomeblobfish,holy shit omg,,,,,,,
HAWNCH0,no thats too easy,,,,,,,
Articfvv1,YESSSSSSSSSSSS,,,,,,,
dollfaccee,LOL,,,,,,,
Syyl,no ͏,,,,,,,
ANormalDumbass,yes,,,,,,,
b1gcountry316,LMAO,,,,,,,
Zegmok,"charge up your ""doid"" emotes peepoGlad",,,,,,,
ibrassw444,@jervas2 Speed already paraglided perfectly fine,,,,,,,
HAWNCH0,ome,,,,,,,
braylink325,nooooooooo,,,,,,,
Neebskii,no,,,,,,,
zir0pttt,ahhh,,,,,,,
tyler_wagaga,yea,,,,,,,
KingVow,LOL,,,,,,,
RetroGuitar67,sob,,,,,,,
AppleAmourr,this ride would’ve hit different during sunset fr,,,,,,,
unwording,@powgazm i was scared the first time but i would definitely do it again,,,,,,,
leheiress,YESSSS,,,,,,,
kappa_dawn,?,,,,,,,
RetroGuitar67,sobb,,,,,,,
FacaV1,"""omg"" ""fuck"" ""shit"" ""chat""",,,,,,,
yex21,hes gonna say omg,,,,,,,
XeiumX7,@xdsznnnn RT,,,,,,,
tyler_wagaga,yeeeeeeeeeeeeeeeeee,,,,,,,
notteblu3,he will pray before,,,,,,,
JustToastedPotat0,SIX SEVEN!!,,,,,,,
breanna62799,YES,,,,,,,
PeachezNQueen,@lea__aaaaa True lol,,,,,,,
stxtikz,B3 g athon,,,,,,,
LandfilI,heEEEE,,,,,,,
vmulla___,put Omg,,,,,,,
bigpaparemy321,definitely gonna scream,,,,,,,
awesomeblobfish,this is crazy omggg,,,,,,,
ThisMeenzWar,"""YO CHAT"".....",,,,,,,
WideHardPepega,"add ""bitrate ruins it""",,,,,,,
notteblu3,he will pray before ͏,,,,,,,
himzeno,DAMn,,,,,,,
urlove_kayla2,Shit on himself fsmEeer fsmOmegalol fsmNyehehe,,,,,,,
jordanking23_,wtf,,,,,,,
rrittenhouse,or something religious lol.,,,,,,,
memi1056bruv,do it,,,,,,,
n_aail,he gon say ohhhh my goddddd,,,,,,,
Neebskii,im sayin no he wont do it,,,,,,,
powgazm,@unwording hell yea,,,,,,,
SEANxaxa,heCrazy,,,,,,,
RetroGuitar67,mhm true,,,,,,,
notteblu3,he will pray before,,,,,,,
xdsznnnn,b b b b bingo???,,,,,,,
unwording,@stxtikz modCheck,,,,,,,
LandfilI,@stxtikz omgBruh,,,,,,,
stxtikz,Begathon,,,,,,,
Day_Dream1n,do a bingo card,,,,,,,
ANormalDumbass,bingo mhm,,,,,,,
Neebskii,fuck,,,,,,,
iluvstreemers,yess,,,,,,,
abdullaham_,WWW KAI,,,,,,,
moneybagfatsoq50_xxx,BRONX,,,,,,,
memi1056bruv,wtf,,,,,,,
XeiumX7,can we predict on if it F's or not,,,,,,,
Neebskii,help me jesus,,,,,,,
jervas2,hes gonna say *OMG*,,,,,,,
tyler_wagaga,his gonna spam the n word,,,,,,,
Aiden,@WideHardPepega apparently they tested it idk,,,,,,,
breanna62799,glorpFlower,,,,,,,
Day_Dream1n,do a bingo card sunny,,,,,,,
ALEXMANCOOL,wideBoink,,,,,,,
vulkbtw223,is anyone jumping with him or is it a solo,,,,,,,
dannyyyyhaha,hes gonna doi doi doi doi doi,,,,,,,
vmulla___,mama,,,,,,,
Articfvv1,"""OMFG""",,,,,,,
lilrodneywiththebigbutt,lmao yeah bingo sounds fire,,,,,,,
notteblu3,Aiden Clueless,,,,,,,
awesomeblobfish,i cant believe this,,,,,,,
jordanking23_,while it’s running ?,,,,,,,
abdullaham_,SUNNY HAVE YOU EVER SKYDIVED B4?,,,,,,,
breanna62799,happi happi,,,,,,,
gq815,What the hell is this?,,,,,,,
emoolahh,yo can u ask Kai to Pray before he jumps?,,,,,,,
notvmptyy,ww pilot,,,,,,,
ibrassw444,How high are they going up,,,,,,,
bossmansixD,damn his 1st message was so baseg why did he have to be a clanker,,,,,,,
ManyOne_,@gq815 skydive,,,,,,,
JxstXayah,"okay im here, hello chattingtons fsmFlower fsmWave",,,,,,,
WideHardPepega,"aiden ""test"" = throwing the camera up and seeing if it lags SpeedLaugh",,,,,,,
marian_775,It's the same guy,,,,,,,
playboizane,W pil0t,,,,,,,
notvmptyy,WW pilot,,,,,,,
mysteryz_0,@JxstXayah  hewwoooooooo,,,,,,,
u_musty445,he ain’t gonna be able to breath or say nothing watch,,,,,,,
MrDesertPunk,So they probably won't sky dive for another hour or two right?>,,,,,,,
ManyOne_,Any mod on that,,,,,,,
iluvstreemers,"if it was sqeed he would say nigga ronaldo and i have no rights, lol",,,,,,,
abdullaham_,YESS,,,,,,,
jervas2,mods do somethings,,,,,,,
skelious64_,yo,,,,,,,
Luzif6r,mods,,,,,,,
HAWNCH0,mods do the thinmg,,,,,,,
Luzif6r,MODS,,,,,,,
RetroGuitar67,MODS,,,,,,,
JxstXayah,@prizz0095 fsmWave,,,,,,,
brayon_101,que,,,,,,,
unwording,MODS,,,,,,,
LittIeTaco,@ManyOne_ uuh,,,,,,,
RingoMar,yeah mods,,,,,,,
davidder_1,mods just the thing,,,,,,,
Aiden,on it boss,,,,,,,
abdullaham_,MODS,,,,,,,
kaden53x,MODS,,,,,,,
mysteryz_0,MODS,,,,,,,
alins you good fsmHEART,,,,,,,,
oshi_jb,why the keep mumbling shit like do t send me shit Ian never ask they ass for shit FUCK KAI,0,,,,,,
davidder_1,mods  just the thing,,,,,,,
himzeno,Goes Black Poll,,,,,,,
oSharky_,MODS,,,,,,,
n_aail,ur the mod tgo,,,,,,,
emoolahh,a mod has mods?,,,,,,,
u_musty445,😠😠😠😠mods,,,,,,,
HAWNCH0,uuh MODS,,,,,,,
WideHardPepega,aiden nah i know its been crazy im just trollin huggies,,,,,,,
el_nickjr,did the rest of the guys go ?,,,,,,,
XeiumX7,MODS,,,,,,,
Neebskii,MODS,,,,,,,
LandfilI,mods chop chop,,,,,,,
ikhenbuga,Mods,,,,,,,
jervas2,mods do what the king says,,,,,,,
emoolahh,do your mods have mods as well?,,,,,,,
WideHardPepega,id say its 50/50,,,,,,,
notvmptyy,@ManyOne_ do your job,,,,,,,
vmulla___,spy cam,,,,,,,
Dar1eI,ALL IN NO,,,,,,,
u_musty445,mods get to work,,,,,,,
JakeClifton2000,They’ll probably change the camera angles anyway there’s gunna be multiple people,,,,,,,
Aiden,fr,,,,,,,
zillaXsantana,SUNNY CAN YOU DO A PRAYER PLEASE,,,,,,,
superhere0,u can wait,,,,,,,
Luzif6r,OMEGALUL,,,,,,,
Neebskii,mods asleep,,,,,,,
Aiden,most dedicated mod here!,,,,,,,
mWave,,,,,,,,
Hotwheee,wow,,,,,,,
Rytus_,@oshi_jb relax mf,,,,,,,
notteblu3,@oshi_jb ban,,,,,,,
Tealins,"@zillaXsantana, fsmHeart",,,,,,,
superhere0,they still have the tutorial,,,,,,,
Zegmok,monkaS aiden you scare me,,,,,,,
belenene3,hi,,,,,,,
emoolahh,@zillaXsantana fr I been spamming pray,,,,,,,
fyzke,jew noise,,,,,,,
MrDesertPunk,@JxstXayah were skydiving!!!,,,,,,,
thatboigoosy,W FORD 250,,,,,,,
JxstXayah,@zillaXsantana whats going on? fsmWave,,,,,,,
notvmptyy,@ManyOne_ do your job mud,,,,,,,
jordanking23_,okay,,,,,,,
dalayna,shhhh,,,,,,,
ANormalDumbass,mhm,,,,,,,
Shi_Shizzl,el oh el mhm,,,,,,,
moneybagfatsoq50_xxx,DUHHHHHHHHHH,,,,,,,
ManyOne_,@notvmptyy already did it,,,,,,,
mysteryz_0,100k on no pfft,,,,,,,
nstarx9,why bro get all up in rages ass,,,,,,,
davidder_1,is aiden able to timeout anyone in a chat even if he doesnt have mod?,,,,,,,
jordanking23_,@thatboigoosy look like a tremor,,,,,,,
ManyOne_,Bum,,,,,,,
K1NGW3ND1G0,No way in hell im betting on that,,,,,,,
RetroGuitar67,mhm,,,,,,,
notteblu3,oshi_jb mods,,,,,,,
n_aail,random ass prediction,,,,,,,
twisted_86,mhm,,,,,,,
Neebskii,im saying no,,,,,,,
zillaXsantana,@jxstxayah skydiving wideomeCheer,,,,,,,
emoolahh,u think u could ask Kai to pray bro? if not all good,,,,,,,
jordanking23_,ewww,,,,,,,
b1gcountry316,"@NotCluster_, what we taking",,,,,,,
JxstXayah,@MrDesertPunk WE’RE skydiving??? lets goooo,,,,,,,
Dar1eI,people are saying no,,,,,,,
ANormalDumbass,LMFAO,,,,,,,
dannyyyyhaha,"@Aiden, do u w*rk for twitch",,,,,,,
frozenconez,fsmVerymore,,,,,,,
breanna62799,happi  happi,,,,,,,
Elemental_X_,diddy,,,,,,,
twisted_86,LOL,,,,,,,
Aiden,@davidder_1 technically one of my accounts have mod here LOL,,,,,,,
vmulla___,😂,,,,,,,
jervas2,ALL ON YES,,,,,,,
marian_775,Yes,,,,,,,
RetroGuitar67,LOL,,,,,,,
DAVEWTW,LOL,,,,,,,
zillaXsantana,sunny can you do a prayer for chat fsmPray,,,,,,,
ibrassw444,Bitch be Bald,,,,,,,
davidder_1,@Aiden ome5,,,,,,,
MrDesertPunk,@JxstXayah im so ready fsmNodders,,,,,,,
belenene3,hi,,,,,,,
DVAL97,LOL,,,,,,,
breanna62799,HAH,,,,,,,
notteblu3,Aiden Sus,,,,,,,
zeekersback,"YOO FSM, Sunny We Here!!!",,,,,,,
Aiden,@davidder_1 watch this,,,,,,,
ManyOne_,@ibrassw444 bald,,,,,,,
xdsznnnn,WICKED,,,,,,,
superhere0,so it has to go black not just chop right,,,,,,,
Aiden,!debug2 /timeout aiden 10,,,,,,,
ANormalDumbass,lo,,,,,,,
MrDesertPunk,"I want to go skydiving, in my area is $200 fsmHmm",,,,,,,
gq815,lmao,,,,,,,
JxstXayah,@MrDesertPunk lowkey im scared of heights sooo,,,,,,,
ANormalDumbass,LOL,,,,,,,
jasminpipi,omg its time,,,,,,,
MohamedRS1,#u aidenbansthisaccountalot,,,,,,,
superhere0,LOL,,,,,,,
breanna62799,hai,,,,,,,
karaskyee,its 50/50,,,,,,,
himzeno,Its A open space Not Gonna Go Black,,,,,,,
ThisMeenzWar,At the very least - he will have the footage from someones go pro,,,,,,,
xdsznnnn,WW f250,,,,,,,
DAVEWTW,im not scared of heights,,,,,,,
vmulla___,beep,,,,,,,
RetroGuitar67,mhm,,,,,,,
ANormalDumbass,wait WHATT staff can get timed out now?,,,,,,,
sher0911arr,hai xayah sweetie fsmKiss,,,,,,,
karaskyee,now more no's,,,,,,,
ANormalDumbass,FINALLY,,,,,,,
davidder_1,clappi Aiden,,,,,,,
DVAL97,fsmDancey2,,,,,,,
himzeno,GGS YOUR POINTS,,,,,,,
xdsznnnn,ram better tho,,,,,,,
ALEXMANCOOL,Gg,,,,,,,
playboizane,is siebe jumping too?,,,,,,,
MrDesertPunk,"@JxstXayah skydiving, there are no heights hehehe",,,,,,,
itskeyah,mmm,,,,,,,
Neebskii,thats fire,,,,,,,
mysteryz_0,Woah,,,,,,,
Kamzara,samee,,,,,,,
WideHardPepega,we are,,,,,,,
2muchdrank909,mal is insane,,,,,,,
rrittenhouse,lets gooo,,,,,,,
jordanking23_,gta map,,,,,,,
jay_ick,where we landing fellas,,,,,,,
Xintherios,its like fortnite,,,,,,,
2muchdrank909,p*,,,,,,,
b1gcountry316,hell no lol,,,,,,,
sher0911arr,u should,,,,,,,
notvmptyy,we are,,,,,,,
dalayna,10k goal,,,,,,,
breanna62799,happie happie,,,,,,,
Aiden,@ANormalDumbass yea we finally got it out!,,,,,,,
DAVEWTW,lets go,,,,,,,
blizzy7716,Same lmao I js looked at costs it aint too bad,,,,,,,
TheKMaster1308,Ww production,,,,,,,
Neebskii,we're literally going in a bit,,,,,,,
JxstXayah,@sher0911arr sher bear fsmGothKiss,,,,,,,
Xintherios,where we droppin,,,,,,,
dylancoolsguy,thats a good way to describe it ngl,,,,,,,
2muchdrank909,You would do it?!?!,,,,,,,
grug8,I got 67k on no ROFL,,,,,,,
MrDesertPunk,"When you're sky diving, you really do be just pressing M",,,,,,,
Sayylless,prediction is 50/50 right now LOL,,,,,,,
ANormalDumbass,@Aiden nice !!,,,,,,,
luckycharmsfw,I passed out first time I did it,,,,,,,
itskeyah,do it at 10.2k subs,,,,,,,
superhere0,#free aiden,,,,,,,
RetroGuitar67,LOL ͏,,,,,,,
oh_hershey,WW stream,,,,,,,
dannnyfannny,FAXXXXXXX,,,,,,,
oh_hershey,Cinema,,,,,,,
paradoxiity,nah,,,,,,,
jcnasy,fax,,,,,,,
bleudie7,it could still happen,,,,,,,
ssmm2424,TRU,,,,,,,
XeiumX7,Cinema,,,,,,,
xfrostiie,will the hat stay on,,,,,,,
MohamedRS1,CiGrip,,,,,,,
ak47_504_yt,cinema,,,,,,,
donovanmic,Cinema,,,,,,,
Wabbyy_,nah,,,,,,,
asiaa18_,fireeeee,,,,,,,
ut to black like Sopranos,,,,,,,,
claire_nicole_07,OMGGGGGG,,,,,,,
MohamedRS1,Cinema,,,,,,,
Hotwheee,pinche,,,,,,,
Neebskii,"@MISA_XVI if it goes black for even 1 sec, its a payout",,,,,,,
postup_bbb,mhm fax,,,,,,,
peascoff,what rage doing there,,,,,,,
mazen333666,IS RAGE JUMPING TOO???,,,,,,,
cashcarti29_,HOLDD,,,,,,,
notteblu3,bleudie7 LMFAO,,,,,,,
DAVEWTW,ohSHIT here we go,,,,,,,
jasminpipi,GULP,,,,,,,
claire_nicole_07,IM EXCITEDDDD,,,,,,,
bleudie7,he could get banned if the parachutes don't work,,,,,,,
brayon_101,Cinema heCrazy,,,,,,,
ak47_504_yt,Cinema,,,,,,,
iluvstreemers,@MISA_XVI bro i dont think it will cut ggs,,,,,,,
9200archive,Is he aloud to wear earingss???,,,,,,,
TG_ShadowDragon,CINEMA idea,,,,,,,
blehhblehhblew3,Mmmmm that would have been dope,,,,,,,
DAVEWTW,Cinema,,,,,,,
vulkbtw223,nah he gonna end it with him going to the moon,,,,,,,
notteblu3,bleudie7 LMFAO ͏,,,,,,,
PlayboiBroc,I’m back babe “no diddy”,,,,,,,
NoneOfAll__,@xfrostiie that hat is gone,,,,,,,
Dr_Shadowss,sunny has to many good ideas,,,,,,,
TG_ShadowDragon,Cinema,,,,,,,
postup_bbb,mmm fax,,,,,,,
MrDesertPunk,@bleudie7 lmao,,,,,,,
iany254,Hes gonna keep his hat on,,,,,,,
ffatimma,thats scary,,,,,,,
rrittenhouse,@bleudie7 but but but,,,,,,,
JayStarkx,starting a stream like that too would be insane,,,,,,,
heckinhecc_,he needs his hat off,,,,,,,
zeekersback,lol,,,,,,,
MISA_XVI,gg all my channel points,,,,,,,
saint4flowers,ultimate cliff hanger,,,,,,,
RetroGuitar67,FOCUS LETSGO,,,,,,,
notteblu3,they dont do that usually,,,,,,,
rewssv,@notteblu3 lacy does,,,,,,,
imSnapperz,@notteblu3 lacys brother is going to be lacys and ron did mention yugi,,,,,,,
moistpaperplates,imagine extra Emily doing a night shift earthostepEdge,,,,,,,
brayon_101,@moistpaperplates om,,,,,,,
pReStOnWhY,did drummer get anything or did only leakz,,,,,,,
